address,pkca,pkdiv,pkpart
,노상,공영,4
,노상,공영,5
,노상,공영,10
,노상,공영,7
,노상,공영,5
,노상,공영,30
,노상,공영,8
,노상,공영,11
,노상,공영,18
,노상,공영,40
,노상,공영,6
,노상,공영,9
,노상,공영,30
,노상,공영,25
,노상,공영,56
,노상,공영,32
,노상,공영,19
,노상,공영,23
,노상,공영,24
,노상,공영,6
,노상,공영,24
,노상,공영,29
인천광역시 중구 율목동 249-5,노외,공영,21
인천광역시 중구 율목동 120,노외,공영,3
인천광역시 중구 율목동 215,노외,공영,2
인천광역시 중구 율목동 143,노외,공영,4
인천광역시 중구 율목동 171,노외,공영,2
인천광역시 중구 율목동 244-8,노외,공영,16
인천광역시 중구 율목동 231-29,노외,공영,25
인천광역시 중구 율목동 90-6,노외,공영,3
인천광역시 중구 내동 108,노외,공영,59
인천광역시 중구 경동 225-1,노외,공영,57
,노외,공영,70
인천광역시 중구 전동 2-5,노외,공영,102
인천광역시 중구 용동 9-5,노외,공영,73
인천광역시 중구 경동 155,노외,공영,17
인천광역시 중구 내동 63,노외,공영,15
인천광역시 중구 전동 25-113,노외,공영,10
인천광역시 중구 용동 177-1,노외,공영,49
인천광역시 중구 내동 6-2,노외,공영,40
인천광역시 중구 북성동2가 12-36,노외,공영,186
인천광역시 중구 북성동1가 97-32,노외,공영,136
전라남도 장흥군 장흥읍 건산리 478-19,노외,공영,16
전라남도 장흥군 장흥읍 건산리 716-4,노외,공영,16
전라남도 장흥군 장흥읍 건산리 710-20,노외,공영,40
전라남도 장흥군 장흥읍 건산리 700-16,노외,공영,7
전라남도 장흥군 장흥읍 건산리 734-5,노외,공영,9
전라남도 장흥군 장흥읍 기양리 14-26,노외,공영,9
전라남도 장흥군 장흥읍 건산리 771-2,노외,공영,27
전라남도 장흥군 장흥읍 기양리 88,노외,공영,17
전라남도 장흥군 장흥읍 남동리 81,노외,공영,16
전라남도 장흥군 장흥읍 원도리 308-1,노외,공영,70
경상북도 포항시 남구 구룡포읍 구룡포리 954-2,노상,공영,173
,노상,공영,47
,노상,공영,21
,노상,공영,18
,노상,공영,27
,노상,공영,4
,노상,공영,116
,노상,공영,14
,노상,공영,5
,노상,공영,2
,노상,공영,4
,노상,공영,31
충청남도 아산시 둔포면 운용리 668,노외,공영,28
충청남도 아산시 배방읍 북수리 1122,노외,공영,97
충청남도 아산시 배방읍 북수리 1672,노외,공영,37
충청남도 아산시 배방읍 북수리 1649,노외,공영,27
충청남도 아산시 배방읍 북수리 1612,노외,공영,19
충청남도 아산시 배방읍 북수리 1844,노외,공영,20
충청남도 아산시 배방읍 북수리 1555,노외,공영,22
충청남도 아산시 배방읍 북수리 1733,노외,공영,20
충청남도 아산시 방축동 428-30,노외,공영,166
충청남도 아산시 방축동 763,노외,공영,40
충청남도 아산시 방축동 730,노외,공영,28
충청남도 아산시 방축동 140-31,노외,공영,68
